return_id,order_id,request_date,return_reason
2134,O104601,024-8/-30,Defective
2135,O104609,24-/2-1/,No longer needed
2136,O104631,2023-11-30,No longer needed
2137,O104632,2024-12-19,Not as described
2138,O104642,023-0/-9/,Defective
2139,O104646,2024-11-14,Missing/Wrong item
2140,O104663,2024-10-24,Not as described
2141,O104687,025-3/-31,Defective
2142,O104701,024-8/-15,Missing/Wrong item
2143,O104706,024-1/-8/,Defective
2144,O104710,024-2/-24,Not as described
2145,O104720,023-2/-8/,No longer needed
2146,O104723,2023-12-23,Defective
2147,O104730,024-2/-2/,No longer needed
2148,O104736,024-9/-22,Missing/Wrong item
2149,O104750,024-3/-24,No longer needed
2150,O104836,25-/2-5/,Defective
2151,O104838,024-4/-10,Defective
2152,O104844,024-7/-17,Defective
2153,O104853,025-2/-25,Not as described
2154,O104874,2023-11-23,Missing/Wrong item
2155,O104937,2024-11-24,Missing/Wrong item
2156,O104943,24-/2-6/,Missing/Wrong item
2157,O104950,2023-11-18,Defective
2158,O104953,024-6/-20,Defective
2159,O104959,24-/2-8/,Not as described
2160,O105009,2023-10-17,Not as described
2161,O105010,25-/2-9/,No longer needed
2162,O105020,2023-11-16,No longer needed
2163,O105027,024-8/-31,Not as described
2164,O105032,2024-12-20,Not as described
2165,O105060,024-2/-18,No longer needed
2166,O105071,25-/2-4/,Not as described
2167,O105084,25-/2-2/,Not as described
2168,O105102,24-/2-3/,No longer needed
2169,O105108,025-5/-12,Defective
2170,O105123,024-3/-30,Not as described
2171,O105141,2023-10-17,Not as described
2172,O105228,024-2/-29,Not as described
2173,O105245,25-/2-1/,No longer needed
2174,O105252,024-7/-18,Defective
2175,O105276,024-7/-25,Not as described
2176,O105281,2024-10-14,Defective
2177,O105324,25-/2-5/,Missing/Wrong item
2178,O105343,25-/2-6/,No longer needed
2179,O105355,025-7/-17,Missing/Wrong item
2180,O105395,2023-10-26,Missing/Wrong item
2181,O105401,025-9/-17,Not as described
2182,O105424,024-5/-27,No longer needed
2183,O105479,025-2/-22,Defective
2184,O105500,024-6/-15,Missing/Wrong item
2185,O105534,24-/2-9/,No longer needed
2186,O105541,2023-12-14,Not as described
2187,O105554,025-0/-5/,Missing/Wrong item
2188,O105559,025-5/-22,Defective
2189,O105563,024-9/-23,Missing/Wrong item
2190,O105595,023-1/-1/,No longer needed
2191,O105600,25-/2-8/,Defective
2192,O105602,2023-10-10,Not as described
2193,O105617,24-/2-1/,No longer needed
2194,O105624,025-8/-19,Missing/Wrong item
2195,O105650,023-1/-2/,Not as described
2196,O105699,025-3/-14,Not as described
2197,O105715,25-/2-3/,Not as described
2198,O105717,2023-10-12,No longer needed
2199,O105720,025-8/-22,No longer needed
2200,O105728,024-0/-2/,Not as described
2201,O105740,2024-10-25,Not as described
2202,O105753,025-9/-11,Missing/Wrong item
2203,O105760,025-1/-15,Defective
2204,O105773,025-8/-26,Not as described
2205,O105790,24-/2-2/,Slow delivery
2206,O105866,024-3/-29,Defective
2207,O105879,2023-10-21,No longer needed
2208,O105946,024-3/-21,No longer needed
2209,O105966,2024-11-19,Not as described
2210,O105967,24-/2-5/,Not as described
2211,O106021,025-4/-22,Defective
2212,O106040,024-1/-7/,Defective
2213,O106052,024-8/-26,No longer needed
2214,O106066,024-8/-10,Missing/Wrong item
2215,O106073,25-/2-5/,No longer needed
2216,O106094,025-3/-14,Missing/Wrong item
2217,O106122,024-2/-15,Not as described
2218,O106151,25-/2-8/,Missing/Wrong item
2219,O106178,24-/2-1/,Not as described
2220,O106179,025-1/-28,No longer needed
2221,O106199,24-/2-1/,Not as described
2222,O106206,024-8/-27,Defective
2223,O106230,2023-11-27,Not as described
2224,O106235,25-/2-3/,Defective
2225,O106250,25-/2-4/,No longer needed
2226,O106279,024-2/-20,Defective
2227,O106288,25-/2-2/,Missing/Wrong item
2228,O106304,024-5/-14,Not as described
2229,O106344,024-5/-13,Defective
2230,O106354,25-/2-9/,Defective
2231,O106403,25-/2-3/,No longer needed
2232,O106453,24-/2-8/,Not as described
2233,O106454,024-5/-26,Defective
2234,O106529,025-3/-24,No longer needed
2235,O106548,024-6/-23,Not as described
2236,O106589,2024-10-16,Defective
2237,O106620,24-/2-7/,Defective
2238,O106634,25-/2-3/,Not as described
2239,O106647,2023-12-30,Missing/Wrong item
2240,O106682,2024-10-28,Not as described
2241,O106701,024-5/-28,Not as described
2242,O106735,024-9/-11,Missing/Wrong item
2243,O106752,025-1/-25,Defective
2244,O106754,24-/2-2/,Not as described
2245,O106778,25-/2-2/,Missing/Wrong item
2246,O106779,025-3/-27,Missing/Wrong item
2247,O106799,024-1/-26,No longer needed
2248,O106807,024-2/-28,Defective
2249,O106840,2024-11-20,Not as described
2250,O106841,024-1/-14,Missing/Wrong item
2251,O106847,024-6/-19,Defective
2252,O106856,025-5/-18,No longer needed
2253,O106874,25-/2-7/,Not as described
2254,O106912,2023-11-10,Missing/Wrong item
2255,O106914,025-1/-26,No longer needed
2256,O106921,024-1/-30,No longer needed
2257,O106938,025-9/-22,No longer needed
2258,O106954,2024-11-21,Defective
2259,O106966,024-5/-25,Not as described
2260,O106974,024-3/-25,Not as described
2261,O106978,025-7/-30,Not as described
2262,O107007,024-5/-26,Missing/Wrong item
2263,O107042,023-2/-5/,No longer needed
2264,O107051,25-/2-4/,Not as described
2265,O107096,24-/2-4/,Missing/Wrong item
2266,O107104,2024-12-17,Missing/Wrong item
2267,O107113,025-8/-19,Not as described
2268,O107115,025-7/-25,Missing/Wrong item
2269,O107126,024-5/-19,No longer needed
2270,O107132,025-7/-27,Missing/Wrong item
2271,O107133,24-/2-6/,Not as described
2272,O107174,025-8/-12,Not as described
2273,O107179,025-8/-25,Defective
2274,O107189,025-3/-28,Not as described
2275,O107212,025-5/-19,No longer needed
2276,O107215,025-7/-14,Missing/Wrong item
2277,O107227,25-/2-9/,No longer needed
2278,O107238,024-6/-20,No longer needed
2279,O107269,25-/2-7/,Defective
2280,O107271,25-/2-7/,Missing/Wrong item
2281,O107302,024-7/-31,No longer needed
2282,O107306,2024-10-24,Not as described
2283,O107336,25-/2-3/,Not as described
2284,O107355,023-2/-1/,No longer needed
2285,O107391,024-3/-27,Not as described
2286,O107394,24-/2-6/,No longer needed
2287,O107418,025-3/-18,No longer needed
2288,O107432,25-/2-5/,No longer needed
2289,O107438,25-/2-1/,No longer needed
2290,O107447,24-/2-7/,No longer needed
2291,O107450,2023-11-27,Defective
2292,O107465,025-4/-27,Defective
2293,O107481,24-/2-5/,No longer needed
2294,O107507,024-1/-12,Defective
2295,O107543,025-3/-12,Missing/Wrong item
2296,O107557,024-6/-20,Not as described
2297,O107590,024-9/-28,Missing/Wrong item
2298,O107600,025-8/-25,Not as described
2299,O107622,025-3/-23,Missing/Wrong item
2300,O107626,024-4/-18,Not as described
2301,O107631,2024-10-28,Defective
2302,O107632,025-1/-20,No longer needed
2303,O107655,2023-12-30,Missing/Wrong item
2304,O107657,25-/2-2/,No longer needed
2305,O107712,025-4/-30,Defective
2306,O107726,024-1/-10,No longer needed
2307,O107737,025-0/-6/,No longer needed
2308,O107749,024-1/-27,Defective
2309,O107830,024-0/-7/,Defective
2310,O107857,025-5/-21,Defective
2311,O107859,025-3/-17,Not as described
2312,O107891,023-1/-9/,Defective
2313,O107909,024-5/-10,Not as described
2314,O107921,024-9/-19,Defective
2315,O107938,25-/2-9/,Not as described
2316,O107951,24-/2-1/,No longer needed
2317,O107982,24-/2-8/,Not as described
2318,O107983,24-/2-3/,Defective
2319,O107997,024-2/-17,Defective
2320,O108015,2023-10-24,Defective
2321,O108017,024-4/-19,Missing/Wrong item
2322,O108022,25-/2-3/,Slow delivery
2323,O108037,024-1/-6/,Missing/Wrong item
2324,O108060,024-8/-31,No longer needed
2325,O108062,024-7/-11,Missing/Wrong item
2326,O108140,025-3/-22,Missing/Wrong item
2327,O108141,025-5/-30,Missing/Wrong item
2328,O108219,24-/2-2/,Not as described
2329,O108239,024-6/-17,Not as described
2330,O108256,024-1/-4/,Defective
2331,O108260,24-/2-9/,No longer needed
2332,O108277,024-2/-3/,Missing/Wrong item
2333,O108301,024-8/-17,Defective
2334,O108308,25-/2-2/,Defective
2335,O108363,25-/2-8/,Defective
2336,O108370,2024-12-24,Slow delivery
2337,O108398,2023-11-27,Missing/Wrong item
2338,O108404,25-/2-9/,Defective
2339,O108426,025-7/-19,Defective
2340,O108464,025-0/-9/,Missing/Wrong item
2341,O108487,24-/2-8/,Missing/Wrong item
2342,O108495,025-6/-17,Defective
2343,O108524,25-/2-6/,No longer needed
2344,O108546,025-9/-25,Defective
2345,O108579,025-2/-28,No longer needed
2346,O108585,025-3/-20,No longer needed
2347,O108600,024-2/-1/,Defective
2348,O108601,023-0/-7/,Defective
2349,O108613,2024-12-28,Not as described
2350,O108642,024-1/-22,No longer needed
2351,O108654,24-/2-9/,No longer needed
2352,O108658,2023-11-27,Missing/Wrong item
2353,O108662,025-5/-24,Missing/Wrong item
2354,O108691,24-/2-6/,Not as described
2355,O108693,2024-11-16,No longer needed
2356,O108703,025-6/-12,Defective
2357,O108714,024-2/-2/,No longer needed
2358,O108771,025-1/-21,Missing/Wrong item
2359,O108776,024-2/-25,Defective
2360,O108790,024-9/-17,Missing/Wrong item
2361,O108801,024-6/-24,Missing/Wrong item
2362,O108838,024-8/-19,Missing/Wrong item
2363,O108847,025-3/-14,Missing/Wrong item
2364,O108877,25-/2-7/,Missing/Wrong item
2365,O108879,025-4/-22,No longer needed
2366,O108883,25-/2-1/,No longer needed
2367,O108900,025-2/-13,Not as described
2368,O108905,024-0/-1/,Not as described
2369,O108908,25-/2-9/,Defective
2370,O108911,24-/2-5/,No longer needed
2371,O108927,024-3/-22,Not as described
2372,O108930,2023-12-28,Not as described
2373,O108965,024-8/-16,No longer needed
2374,O108974,024-9/-14,No longer needed
2375,O108980,2024-12-10,Defective
2376,O108983,025-0/-9/,No longer needed
2377,O109057,025-3/-22,No longer needed
2378,O109077,024-4/-16,No longer needed
2379,O109103,024-5/-11,Missing/Wrong item
2380,O109145,025-6/-21,Defective
2381,O109165,024-1/-29,Not as described
2382,O109182,2024-12-27,No longer needed
2383,O109184,023-1/-9/,Defective
2384,O109237,2023-11-20,No longer needed
2385,O109249,025-6/-14,Defective
2386,O109287,25-/2-1/,Not as described
2387,O109290,25-/2-7/,Defective
2388,O109323,024-9/-12,No longer needed
2389,O109333,025-3/-16,Defective
2390,O109347,2023-10-31,Not as described
2391,O109348,025-2/-28,Missing/Wrong item
2392,O109392,025-9/-11,No longer needed
2393,O109400,024-8/-30,No longer needed
2394,O109411,2024-12-29,Not as described
2395,O109425,024-5/-25,Defective
2396,O109453,2024-11-27,Missing/Wrong item
2397,O109471,023-2/-6/,Not as described
2398,O109472,024-1/-11,Missing/Wrong item
2399,O109473,024-1/-8/,Not as described
2400,O109524,2024-11-30,No longer needed
2401,O109583,025-7/-28,Defective
2402,O109584,24-/2-2/,Missing/Wrong item
2403,O109610,024-5/-27,Missing/Wrong item
2404,O109614,025-9/-13,Not as described
2405,O109644,024-1/-23,Not as described
2406,O109655,25-/2-9/,No longer needed
2407,O109683,024-5/-27,Missing/Wrong item
2408,O109703,024-0/-4/,Not as described
2409,O109704,024-8/-23,Not as described
2410,O109711,024-8/-19,No longer needed
2411,O109719,025-6/-10,Defective
2412,O109761,25-/2-8/,No longer needed
2413,O109777,024-5/-28,No longer needed
2414,O109782,24-/2-5/,No longer needed
2415,O109794,024-1/-6/,Missing/Wrong item
2416,O109805,024-4/-28,Not as described
2417,O109809,025-6/-29,Missing/Wrong item
2418,O109817,024-5/-12,Not as described
2419,O109847,25-/2-8/,Not as described
2420,O109850,025-0/-1/,No longer needed
2421,O109855,024-6/-17,Defective
2422,O109868,025-6/-30,Defective
2423,O109894,024-1/-22,Defective
2424,O109911,025-7/-26,Missing/Wrong item
2425,O109915,025-1/-19,Missing/Wrong item
2426,O109972,025-2/-22,Defective
2427,O109975,2023-11-18,Defective
2428,O109987,025-2/-24,No longer needed
2429,O110004,025-9/-25,No longer needed
2430,O110014,025-6/-22,Not as described
2431,O110021,24-/2-9/,Missing/Wrong item
2432,O110022,025-5/-10,Missing/Wrong item
2433,O110042,025-9/-13,Defective
2434,O110051,025-1/-25,Slow delivery
2435,O110057,024-1/-9/,Missing/Wrong item
2436,O110082,2023-10-19,No longer needed
2437,O110102,2023-11-22,Slow delivery
2438,O110120,024-6/-15,No longer needed
2439,O110150,24-/2-4/,Defective
2440,O110176,024-1/-9/,Defective
2441,O110190,024-2/-17,Not as described
2442,O110192,024-2/-23,Defective
2443,O110231,024-5/-22,Defective
2444,O110241,2023-10-20,Defective
2445,O110245,025-5/-21,No longer needed
2446,O110256,025-2/-21,Not as described
2447,O110300,024-6/-22,Defective
2448,O110307,2023-12-20,Missing/Wrong item
2449,O110325,024-4/-30,Not as described
2450,O110384,025-2/-24,Defective
2451,O110389,2024-11-25,No longer needed
2452,O110391,025-2/-10,No longer needed
2453,O110429,24-/2-1/,Missing/Wrong item
2454,O110431,024-6/-21,Missing/Wrong item
2455,O110446,025-1/-11,Missing/Wrong item
2456,O110491,25-/2-7/,Not as described
2457,O110513,2024-10-26,No longer needed
2458,O110535,025-4/-26,No longer needed
2459,O110558,24-/2-2/,Not as described
2460,O110569,025-4/-25,Missing/Wrong item
2461,O110583,024-1/-10,Missing/Wrong item
2462,O110618,025-3/-20,Missing/Wrong item
2463,O110640,2023-12-23,No longer needed
2464,O110672,2024-12-17,Missing/Wrong item
2465,O110767,025-4/-23,Defective
2466,O110770,025-7/-20,Defective
2467,O110777,025-5/-10,Defective
2468,O110780,025-6/-28,Missing/Wrong item
2469,O110796,025-1/-21,Defective
2470,O110812,2024-10-24,Missing/Wrong item
2471,O110837,2024-10-21,Defective
2472,O110864,024-3/-19,Not as described
2473,O110883,024-2/-3/,No longer needed
2474,O110901,25-/2-4/,Defective
2475,O110910,025-7/-30,Not as described
2476,O110914,024-0/-8/,Missing/Wrong item
2477,O110923,2024-10-16,No longer needed
2478,O110944,025-6/-25,Missing/Wrong item
2479,O110962,024-2/-22,Missing/Wrong item
2480,O110966,2024-12-25,Slow delivery
2481,O111018,025-1/-22,No longer needed
2482,O111030,025-9/-14,Not as described
2483,O111077,025-6/-19,Not as described
2484,O111082,025-0/-3/,Missing/Wrong item
2485,O111111,24-/2-5/,Defective
2486,O111139,2023-11-15,No longer needed
2487,O111147,25-/2-3/,No longer needed
2488,O111158,025-2/-12,No longer needed
2489,O111168,2023-12-23,Defective
2490,O111278,2024-10-20,Defective
2491,O111279,24-/2-6/,Missing/Wrong item
2492,O111292,025-8/-23,Not as described
2493,O111348,025-7/-31,Defective
2494,O111370,024-2/-20,Defective
2495,O111399,025-3/-19,No longer needed
2496,O111415,025-5/-28,Missing/Wrong item
2497,O111444,024-9/-18,Defective
2498,O111466,025-4/-11,Not as described
2499,O111516,025-6/-17,Defective
2500,O111537,025-3/-13,Missing/Wrong item
2501,O111567,025-7/-11,Not as described
2502,O111569,25-/2-2/,Not as described
2503,O111585,025-2/-26,No longer needed
2504,O111590,024-1/-11,Not as described
2505,O111594,24-/2-9/,Defective
2506,O111596,025-1/-18,Missing/Wrong item
2507,O111629,025-7/-22,Not as described
2508,O111631,025-2/-17,Defective
2509,O111633,025-5/-27,Missing/Wrong item
2510,O111651,2023-11-24,Not as described
2511,O111699,2024-10-13,No longer needed
2512,O111758,025-5/-18,Defective
2513,O111806,025-6/-14,Defective
2514,O111813,2025-10-17,No longer needed
2515,O111841,024-5/-28,Not as described
2516,O111864,024-6/-23,Defective
2517,O111897,024-2/-26,Defective
2518,O111904,024-4/-26,Not as described
2519,O111928,2024-11-23,No longer needed
2520,O112016,024-0/-5/,Not as described
2521,O112029,024-5/-21,Missing/Wrong item
2522,O112089,2024-11-21,Not as described
2523,O112092,24-/2-8/,Defective
2524,O112103,025-8/-19,Missing/Wrong item
2525,O112105,025-1/-30,Missing/Wrong item
2526,O112156,024-3/-11,Not as described
2527,O112183,025-8/-30,Defective
2528,O112223,2023-10-31,Missing/Wrong item
2529,O112226,2024-11-17,No longer needed
2530,O112231,024-8/-19,Defective
2531,O112233,024-1/-25,Defective
2532,O112253,2024-10-25,Not as described
2533,O112306,024-6/-25,Defective
2534,O112325,025-5/-11,No longer needed
2535,O112329,2024-12-10,Defective
2536,O112346,25-/2-7/,No longer needed
2537,O112351,024-5/-30,Missing/Wrong item
2538,O112360,24-/2-7/,Not as described
2539,O112422,2023-10-14,Defective
2540,O112535,2024-10-14,Defective
2541,O112566,025-8/-11,Defective
2542,O112568,024-2/-19,No longer needed
2543,O112605,2024-10-23,Missing/Wrong item
2544,O112633,024-1/-22,Not as described
2545,O112644,2024-11-20,No longer needed
2546,O112659,025-6/-24,No longer needed
2547,O112663,2024-12-19,Not as described
2548,O112693,025-6/-13,Missing/Wrong item
2549,O112694,025-7/-31,Defective
2550,O112712,2023-10-22,Defective
2551,O112715,025-7/-12,Defective
2552,O112729,025-9/-21,Missing/Wrong item
2553,O112761,024-3/-17,No longer needed
2554,O112764,025-4/-27,Defective
2555,O112797,025-8/-12,No longer needed
2556,O112803,25-/2-9/,Defective
2557,O112813,024-0/-4/,No longer needed
2558,O112835,25-/2-2/,No longer needed
2559,O112874,2024-10-26,Missing/Wrong item
2560,O112916,024-8/-22,No longer needed
2561,O112919,025-3/-16,No longer needed
2562,O112955,025-8/-11,Missing/Wrong item
2563,O112958,023-1/-5/,Defective
2564,O112984,024-6/-28,No longer needed
2565,O112987,2024-10-27,Defective
2566,O112996,25-/2-3/,Not as described
2567,O113002,024-9/-22,Not as described
2568,O113006,2024-12-21,Missing/Wrong item
2569,O113027,024-6/-21,Not as described
2570,O113033,24-/2-6/,No longer needed
2571,O113067,2024-10-28,Defective
2572,O113069,024-4/-18,Missing/Wrong item
2573,O113071,24-/2-8/,Slow delivery
2574,O113072,024-1/-20,Missing/Wrong item
2575,O113074,2024-12-18,Defective
2576,O113107,024-8/-17,Defective
2577,O113114,2024-12-31,Missing/Wrong item
2578,O113118,024-9/-26,No longer needed
2579,O113133,24-/2-8/,Defective
2580,O113214,2023-10-19,Defective
2581,O113219,025-2/-18,Missing/Wrong item
2582,O113228,025-4/-22,Slow delivery
2583,O113246,024-6/-14,Defective
2584,O113248,024-4/-18,Defective
2585,O113250,25-/2-9/,Defective
2586,O113261,025-5/-13,Missing/Wrong item
2587,O113262,025-2/-28,No longer needed
