order_id,customer_id,product_id,order_date,delivered_date,quantity,payment_method,region,total_amount,shipping_cost,profit_margin
O100040,C11082,P232689,023-2/-9/,2023-12-13,1,UPI,South,267.88,7.49,67.52
O100041,C12558,P223758,024-3/-31,24-/2-4/,1,COD,West,6.2,2.5,-2.0
O100042,C17849,P208838,25-/2-3/,25-/2-7/,2,COD,North,72.1,7.24,12.95
O100043,C12047,P245502,2023-10-31,023-1/-5/,1,UPI,South,40.17,4.94,9.12
O100044,C17643,P243790,024-9/-27,024-0/-5/,1,Debit Card,Central,313.25,8.96,28.63
O100045,C12747,P237976,025-4/-11,025-4/-15,3,COD,West,36.99,4.09,-1.13
O100046,C10975,P249346,024-1/-11,024-1/-16,3,Debit Card,South,27.21,6.05,4.83
O100047,C11806,P213725,25-/2-3/,25-/2-8/,2,Credit Card,West,24.9,5.18,6.02
O100048,C10189,P209337,025-3/-19,025-3/-24,1,Credit Card,North,7.33,3.86,-0.93
O100049,C17101,P210701,025-3/-12,025-3/-17,1,Credit Card,South,51.16,5.96,14.5
O100050,C12734,P229811,025-7/-14,025-7/-22,1,COD,East,16.12,4.76,-3.47
O100051,C13005,P243043,2024-12-31,25-/2-5/,4,Credit Card,West,783.48,10.37,209.0
O100052,C14658,P238978,024-9/-16,024-9/-20,1,PayPal,North,8.29,2.98,0.75
O100053,C11899,P229316,024-1/-24,024-1/-29,2,PayPal,South,804.26,9.93,86.58
O100054,C17734,P211544,2023-12-29,24-/2-4/,1,Debit Card,East,18.94,4.96,-3.44
O100055,C11267,P221514,2023-11-23,2023-11-28,2,Debit Card,South,13.04,4.73,-3.69
O100056,C16975,P216327,2023-12-18,2023-12-21,1,COD,Central,4.84,3.91,-1.97
O100057,C11528,P246809,023-2/-6/,023-2/-9/,4,Wallet,North,668.84,8.88,178.4
O100058,C13202,P216705,2024-10-30,024-1/-2/,1,Wallet,Central,114.21,6.65,25.33
O100059,C13556,P210479,024-8/-16,024-8/-20,3,COD,North,368.55,7.27,95.92
O100060,C13890,P211323,024-2/-1/,024-2/-6/,1,UPI,West,14.91,4.93,0.29
O100061,C10646,P212937,2023-11-13,2023-11-17,1,Credit Card,North,10.46,3.14,1.57
O100062,C16164,P223089,024-6/-26,24-/2-2/,1,Debit Card,West,368.67,9.91,34.33
O100063,C12888,P201702,025-6/-24,025-6/-29,1,Debit Card,West,12.17,2.07,-1.1
O100064,C16310,P210404,024-1/-22,024-1/-26,1,Credit Card,West,110.7,6.97,24.03
O100065,C15393,P233598,025-6/-23,025-6/-28,1,COD,North,20.24,4.74,-3.12
O100066,C12435,P208380,25-/2-3/,25-/2-8/,1,Debit Card,West,149.39,6.15,38.67
O100067,C10600,P221990,024-2/-14,024-2/-18,1,UPI,North,20.91,4.04,3.28
O100068,C12363,P232859,2023-12-15,2023-12-19,4,PayPal,South,53.72,6.26,12.54
O100069,C12061,P203877,2023-11-22,2023-11-27,1,PayPal,East,3.17,3.06,-2.81
O100070,C10241,P242871,024-5/-30,24-/2-7/,2,Debit Card,South,17.0,3.51,3.29
O100071,C12041,P218720,2024-10-18,2024-10-22,3,Debit Card,West,450.36,8.26,149.37
O100072,C12824,P207676,024-9/-21,024-9/-27,1,Debit Card,East,88.16,6.72,3.86
O100073,C17513,P231818,025-2/-24,25-/2-2/,1,Credit Card,South,217.48,7.67,57.57
O100074,C12612,P234348,024-2/-6/,2024-12-10,2,Credit Card,South,32.36,4.73,6.6
O100075,C17041,P248555,2023-12-21,2023-12-26,3,COD,West,74.27,6.24,19.75
O100076,C11363,P242368,025-2/-13,025-2/-17,2,Credit Card,Central,32.52,5.1,4.66
O100077,C16235,P248180,024-5/-14,024-5/-19,2,COD,West,41.46,4.31,8.13
O100078,C15486,P224130,2023-12-20,2023-12-23,1,UPI,Central,23.16,4.81,1.67
O100079,C17099,P233241,024-6/-28,24-/2-1/,4,Credit Card,North,26.12,6.21,-4.12
O100080,C11478,P244392,024-3/-13,024-3/-17,1,Wallet,West,78.78,8.3,15.33
O100081,C17595,P249421,025-1/-23,025-1/-27,1,Wallet,West,3.95,2.63,-2.31
O100082,C12556,P226620,025-4/-20,025-4/-24,1,UPI,South,137.66,7.01,41.17
O100083,C10775,P217077,023-9/-23,023-9/-29,4,Credit Card,West,174.28,8.27,52.73
O100084,C14014,P212663,24-/2-8/,024-6/-12,1,Debit Card,South,715.44,10.44,75.41
O100085,C10034,P217799,25-/2-4/,25-/2-8/,3,Wallet,South,38.76,6.83,6.74
O100086,C16349,P247285,024-6/-12,024-6/-16,1,Debit Card,South,3.04,1.93,-1.69
O100087,C13152,P217619,024-6/-18,024-6/-21,4,Credit Card,North,92.52,9.09,-1.69
O100088,C11955,P203967,2023-12-20,2023-12-25,1,PayPal,South,17.58,3.71,3.32
O100089,C11585,P227488,24-/2-5/,024-7/-12,1,Debit Card,South,60.66,5.34,21.96
O100090,C13943,P213211,25-/2-9/,025-2/-15,1,UPI,West,5.12,1.8,0.25
O100091,C17555,P221169,24-/2-8/,024-7/-12,1,UPI,South,3.65,1.97,-0.33
O100092,C13073,P230373,024-8/-10,024-8/-14,3,COD,West,2571.54,12.41,296.17
O100093,C11021,P232669,024-1/-20,024-1/-26,2,Debit Card,East,319.22,7.51,81.87
O100094,C13461,P206634,25-/2-2/,25-/2-6/,3,Debit Card,Central,129.99,6.28,52.22
O100095,C12613,P200840,025-2/-22,25-/2-1/,1,Wallet,East,22.26,3.96,3.83
O100096,C15225,P234229,023-9/-12,023-9/-17,1,Credit Card,East,4.89,3.77,-2.06
O100097,C13843,P221318,024-9/-26,024-9/-29,5,COD,Central,168.39,8.25,50.69
O100098,C17989,P215405,25-/2-2/,25-/2-7/,1,Debit Card,West,98.47,6.58,37.73
O100099,C11500,P247771,25-/2-8/,025-5/-12,1,COD,South,823.81,8.88,89.98
O100100,C14798,P236240,025-2/-25,25-/2-2/,1,Debit Card,West,15.62,4.69,0.0
O100101,C16545,P215847,25-/2-4/,25-/2-9/,1,Credit Card,North,29.91,3.68,4.69
O100102,C16873,P223547,25-/2-2/,25-/2-7/,5,Credit Card,Central,116.65,7.12,33.71
O100103,C15675,P206575,2024-11-29,024-2/-5/,1,Credit Card,East,31.36,3.99,8.55
O100104,C10161,P230123,2024-11-14,2024-11-18,1,Credit Card,South,191.42,8.6,45.0
O100105,C14297,P204843,2023-10-23,2023-10-30,1,COD,South,36.94,5.01,5.33
O100106,C11981,P227451,2024-11-21,2024-11-25,2,Credit Card,North,33.96,4.16,9.42
O100107,C10995,P207739,24-/2-8/,024-6/-14,2,Wallet,East,203.48,7.89,49.08
O100108,C16413,P214852,024-7/-11,024-7/-14,1,Credit Card,North,10.02,2.22,1.79
O100109,C14911,P249092,24-/2-6/,024-8/-11,1,Debit Card,North,111.08,7.66,23.44
O100110,C13342,P209157,2023-12-23,2023-12-31,3,COD,East,62.79,5.86,16.12
O100111,C14551,P222406,023-2/-4/,023-2/-7/,3,UPI,North,61.5,5.64,22.04
O100112,C17629,P247284,025-1/-21,025-1/-25,1,COD,South,58.8,7.65,12.93
O100113,C13798,P245200,25-/2-8/,025-8/-12,2,UPI,West,141.96,6.85,10.19
O100114,C11275,P207432,2024-10-29,024-1/-2/,1,Credit Card,South,1161.68,7.91,131.49
O100115,C11016,P218837,25-/2-7/,025-5/-11,1,Debit Card,South,13.88,5.31,-0.45
O100116,C17869,P215148,25-/2-3/,25-/2-8/,1,Debit Card,North,53.93,5.21,10.97
O100117,C16439,P211194,25-/2-4/,25-/2-9/,1,Credit Card,East,14.51,4.15,1.65
O100118,C17892,P232591,25-/2-6/,025-5/-11,3,Credit Card,West,6.77,3.43,-0.72
O100119,C16863,P214819,2023-11-12,2023-11-20,4,Wallet,Central,167.5,7.43,51.19
O100120,C17916,P206625,023-9/-15,023-9/-19,1,Credit Card,South,189.54,9.21,47.65
O100121,C10337,P207404,25-/2-4/,25-/2-7/,1,COD,North,118.71,6.57,34.98
O100122,C10878,P214674,025-1/-20,025-1/-26,2,PayPal,South,25.34,3.95,7.45
O100123,C11076,P210507,25-/2-6/,025-4/-13,1,COD,East,9.42,1.0,-0.25
O100124,C14887,P220387,024-2/-16,024-2/-20,1,PayPal,Central,456.78,9.4,45.41
O100125,C13993,P218697,2023-11-18,2023-11-24,1,COD,South,4.84,1.46,-1.07
O100126,C16360,P237391,024-0/-2/,024-0/-6/,2,Credit Card,South,33.56,5.18,8.24
O100127,C14859,P219547,025-1/-30,25-/2-4/,1,Debit Card,South,10.98,1.74,2.65
O100128,C16331,P223570,024-2/-26,24-/2-3/,2,COD,East,113.44,8.53,25.5
O100129,C10379,P239783,25-/2-9/,025-6/-14,1,Credit Card,Central,3.74,1.52,-0.02
O100130,C10492,P228037,025-2/-12,025-2/-19,1,Credit Card,South,6.3,2.16,-1.66
O100131,C17208,P230083,25-/2-2/,25-/2-6/,3,Wallet,South,16.35,4.57,1.97
O100132,C15276,P248029,24-/2-6/,024-6/-13,1,Credit Card,East,20.37,3.95,3.18
O100133,C12062,P240550,024-4/-16,024-4/-20,1,Credit Card,Central,12.82,3.74,2.03
O100134,C13884,P237982,024-7/-16,024-7/-22,1,UPI,South,27.79,7.19,2.54
O100135,C10064,P239706,024-7/-26,24-/2-1/,2,UPI,South,67.52,5.44,-0.04
O100136,C12568,P202988,025-5/-13,025-5/-18,2,COD,Central,28.26,5.99,-3.73
O100137,C15463,P205156,25-/2-3/,25-/2-8/,1,Credit Card,South,92.86,7.23,34.56
O100138,C15248,P238280,24-/2-6/,024-8/-12,1,PayPal,South,18.59,5.17,2.27
O100139,C12027,P209788,2023-11-21,2023-11-24,1,Debit Card,North,21.43,5.71,-4.0
O100140,C12695,P214185,24-/2-5/,024-3/-10,2,UPI,Central,177.35,6.54,55.53
O100141,C11495,P218734,2023-12-19,2023-12-24,1,Debit Card,North,32.32,5.16,9.38
O100142,C17230,P209971,023-9/-27,023-0/-1/,1,PayPal,Central,155.94,7.4,36.26
O100143,C15258,P243408,025-2/-13,025-2/-20,2,PayPal,North,22.75,4.33,4.77
O100144,C15618,P206487,024-2/-24,024-2/-29,1,COD,West,120.29,7.36,26.32
O100145,C16736,P220997,24-/2-6/,024-6/-10,1,COD,West,28.05,6.92,1.49
O100146,C10391,P246456,2023-12-11,2023-12-15,1,Credit Card,West,123.11,6.32,28.15
O100147,C15794,P212452,2024-10-16,2024-10-22,1,Wallet,North,284.7,9.1,25.06
O100148,C14514,P215372,025-2/-20,025-2/-24,2,Debit Card,West,1160.34,9.05,130.19
O100149,C16432,P244767,2023-12-19,2023-12-25,4,UPI,East,3226.84,11.85,375.37
O100150,C14474,P213434,024-2/-4/,2024-12-11,4,UPI,East,385.24,9.61,36.62
O100151,C15892,P212416,025-7/-11,025-7/-16,5,COD,South,158.85,7.94,63.54
O100152,C13561,P219248,25-/2-5/,025-7/-10,2,UPI,South,609.34,9.29,173.51
O100153,C12278,P246713,24-/2-2/,24-/2-5/,1,PayPal,North,862.36,10.06,93.42
O100154,C17161,P228194,024-3/-17,024-3/-20,1,Debit Card,Central,44.71,5.76,14.36
O100155,C16184,P233785,024-2/-4/,024-2/-7/,1,COD,North,4.21,2.28,-0.39
O100156,C13099,P237458,2024-11-14,2024-11-17,2,Debit Card,North,289.14,8.7,26.0
O100157,C16278,P208373,023-9/-18,023-9/-21,1,Credit Card,North,31.13,3.29,5.43
O100158,C10200,P230283,025-2/-28,25-/2-4/,1,PayPal,Central,213.82,7.25,56.9
O100159,C15959,P229415,025-7/-14,025-7/-18,1,Credit Card,Central,474.15,8.66,48.24
O100160,C14875,P226414,024-2/-27,24-/2-2/,2,Wallet,North,474.59,8.71,48.24
O100161,C17073,P214378,25-/2-9/,025-7/-13,1,COD,South,52.12,6.56,-2.39
O100162,C13104,P218336,24-/2-1/,24-/2-5/,1,Credit Card,West,31.3,4.71,4.68
O100163,C17215,P204700,2024-11-10,2024-11-13,1,Debit Card,Central,130.58,8.51,28.05
O100164,C14598,P213901,24-/2-8/,024-4/-12,1,Debit Card,West,26.03,7.52,4.19
O100165,C12454,P224838,024-2/-12,024-2/-18,1,Credit Card,West,8.15,3.7,-0.44
O100166,C13645,P222597,24-/2-9/,024-9/-12,3,UPI,Central,45.21,6.94,11.14
O100167,C15847,P233428,025-4/-26,25-/2-2/,2,PayPal,West,34.58,5.84,6.26
O100168,C10804,P240149,2023-10-15,2023-10-19,1,Credit Card,West,142.96,6.88,33.15
O100169,C16242,P235687,025-7/-18,025-7/-23,2,Debit Card,South,32.54,4.52,10.12
O100170,C12731,P229493,24-/2-9/,024-4/-15,1,UPI,West,57.75,6.46,0.47
O100171,C15991,P231852,25-/2-3/,25-/2-6/,1,PayPal,Central,40.65,4.89,-1.64
O100172,C12773,P210932,024-9/-10,024-9/-16,2,Wallet,East,193.12,8.34,45.73
O100173,C11570,P223009,025-7/-27,025-7/-30,1,UPI,Central,171.02,8.52,39.37
O100174,C15056,P233583,24-/2-9/,024-8/-13,2,UPI,Central,7.39,4.18,-3.59
O100175,C17906,P247278,023-9/-27,023-0/-3/,2,Debit Card,East,188.46,6.66,15.96
O100176,C16756,P227994,25-/2-6/,025-9/-12,3,Credit Card,South,2177.04,9.81,251.43
O100177,C15581,P229865,025-7/-31,25-/2-3/,1,UPI,North,93.0,7.45,20.45
O100178,C12690,P212289,24-/2-2/,24-/2-9/,1,UPI,West,99.52,8.19,19.68
O100179,C13840,P228293,2023-12-28,24-/2-5/,1,UPI,East,16.48,3.97,2.62
O100180,C11028,P204734,25-/2-5/,025-4/-10,1,Wallet,West,137.57,8.34,8.17
O100181,C17385,P220013,24-/2-3/,24-/2-7/,1,Credit Card,North,331.04,6.99,85.7
O100182,C10502,P235521,024-1/-5/,2024-11-11,2,PayPal,West,33.7,3.4,8.4
O100183,C16910,P206505,2024-11-13,2024-11-17,1,Debit Card,North,26.91,2.99,5.08
O100184,C14493,P244327,2024-11-10,2024-11-15,1,COD,East,122.2,8.48,34.29
O100185,C10870,P247673,024-0/-8/,2024-10-13,1,Credit Card,West,49.21,5.29,8.49
O100186,C16938,P204685,025-1/-24,025-1/-28,2,Debit Card,North,82.04,6.87,25.95
O100187,C14488,P249353,024-6/-12,024-6/-18,2,COD,East,41.0,5.35,-2.07
O100188,C10206,P218409,024-3/-13,024-3/-16,1,Credit Card,Central,57.32,7.37,9.83
O100189,C15134,P219517,023-1/-4/,023-1/-7/,2,Wallet,North,97.16,7.6,19.6
O100190,C15977,P244533,024-9/-14,024-9/-18,1,Credit Card,North,37.86,5.8,11.24
O100191,C17721,P230475,25-/2-8/,025-4/-11,2,Credit Card,North,189.07,8.19,48.53
O100192,C17035,P236989,2024-12-31,25-/2-5/,1,PayPal,West,7.37,3.72,-0.77
O100193,C11484,P215327,024-4/-10,024-4/-15,1,Credit Card,East,25.64,4.28,-2.23
O100194,C17858,P203671,2023-12-18,2023-12-23,1,Debit Card,Central,14.25,4.86,-3.72
O100195,C17742,P204941,024-8/-10,024-8/-16,1,Credit Card,West,49.2,6.38,13.3
O100196,C10863,P226372,25-/2-1/,25-/2-5/,1,UPI,South,236.98,8.56,19.88
O100197,C12790,P212466,025-1/-24,025-1/-28,1,Credit Card,West,23.49,4.42,2.63
O100198,C17408,P218286,025-6/-30,25-/2-5/,1,Credit Card,West,52.7,7.0,14.08
O100199,C10563,P244959,025-5/-24,025-5/-30,3,Credit Card,East,57.26,7.4,15.5
O100200,C15116,P204588,025-7/-23,025-7/-28,4,COD,Central,53.08,4.7,-0.45
O100201,C14191,P228080,2024-11-22,2024-11-27,1,UPI,North,125.56,7.14,28.02
O100202,C16019,P224544,2023-10-13,2023-10-19,1,Debit Card,East,72.87,7.84,14.02
O100203,C11757,P210811,025-4/-18,025-4/-25,2,Credit Card,Central,291.38,8.39,26.58
O100204,C16628,P218733,2024-12-16,2024-12-21,1,Debit Card,South,21.01,4.51,4.94
O100205,C17574,P240696,24-/2-3/,24-/2-9/,1,Wallet,East,141.56,7.16,32.48
O100206,C16374,P248093,024-9/-25,024-9/-30,1,COD,East,33.7,6.42,-3.72
O100207,C16892,P239888,025-4/-21,025-4/-25,4,Debit Card,Central,7.96,1.92,-1.28
O100208,C11678,P247042,024-6/-23,024-6/-26,1,Debit Card,North,7.39,1.92,1.04
O100209,C13242,P230059,023-9/-16,023-9/-19,1,COD,North,537.23,9.75,54.72
O100210,C14636,P237487,024-1/-8/,2024-11-15,1,Credit Card,East,206.49,10.12,47.7
O100211,C11059,P240849,2023-12-22,2023-12-27,1,Credit Card,North,33.43,6.41,3.62
O100212,C16668,P214550,2023-12-28,24-/2-5/,3,UPI,East,331.65,8.23,31.57
O100213,C15279,P249122,2023-12-22,2023-12-28,2,UPI,East,54.98,6.08,13.16
O100214,C11722,P210864,24-/2-6/,24-/2-9/,2,Credit Card,Central,3.72,3.06,-2.76
O100215,C13314,P225394,025-1/-14,025-1/-18,1,Credit Card,West,475.97,7.92,49.2
O100216,C13157,P219061,024-5/-11,024-5/-15,1,Debit Card,North,410.13,8.95,40.27
O100217,C15915,P249699,024-5/-16,024-5/-22,1,Debit Card,East,35.66,6.4,9.65
O100218,C12625,P212624,24-/2-3/,24-/2-7/,5,UPI,South,39.9,6.54,-3.35
O100219,C12729,P224934,025-5/-21,025-5/-25,1,Debit Card,North,21.91,3.83,4.93
O100220,C16700,P203361,2023-11-24,2023-11-27,1,Credit Card,North,33.22,4.47,-1.81
O100221,C11597,P213707,025-6/-18,025-6/-23,1,Credit Card,East,323.62,10.29,86.8
O100222,C13060,P201924,024-8/-15,024-8/-21,1,UPI,South,19.71,4.96,0.56
O100223,C12693,P229487,024-5/-25,024-5/-30,1,Credit Card,East,1.02,2.2,-2.12
O100224,C14891,P212647,025-6/-26,025-6/-29,1,Credit Card,Central,433.77,7.22,114.24
O100225,C15147,P231734,24-/2-5/,024-3/-10,1,Wallet,West,40.55,5.77,8.42
O100226,C15739,P229018,025-5/-19,025-5/-26,1,Credit Card,West,168.7,8.16,39.08
O100227,C13627,P221627,025-7/-29,25-/2-2/,1,Wallet,South,49.93,6.99,12.98
O100228,C11363,P221031,025-3/-13,025-3/-18,2,Debit Card,South,14.4,4.4,-3.25
O100229,C17965,P239449,024-1/-23,024-1/-27,1,Credit Card,Central,33.57,5.32,6.43
O100230,C11981,P202701,023-9/-25,023-9/-29,2,Debit Card,North,68.12,5.7,13.37
O100231,C15450,P246943,024-7/-15,024-7/-21,1,COD,South,32.11,4.49,-1.92
O100232,C11663,P242890,024-3/-29,24-/2-2/,1,COD,North,389.04,7.63,39.05
O100233,C11529,P249573,024-4/-14,024-4/-17,1,Debit Card,North,5.91,3.39,-1.03
O100234,C12038,P216719,024-9/-18,024-9/-22,2,COD,South,212.45,9.3,50.19
O100235,C17515,P209718,025-6/-26,025-6/-29,3,UPI,North,159.04,8.82,35.71
O100236,C15592,P200056,024-2/-9/,2024-12-14,1,Credit Card,West,30.96,6.17,2.5
O100237,C13302,P246741,025-4/-16,025-4/-20,1,COD,North,34.61,4.45,5.24
O100238,C12237,P215352,2023-10-10,2023-10-15,1,Debit Card,West,86.03,7.29,18.52
O100239,C17392,P247820,2024-10-26,024-1/-1/,1,Credit Card,West,11.34,4.76,-3.85
O100240,C15504,P203147,024-7/-17,024-7/-24,1,Credit Card,East,215.45,7.77,52.56
O100241,C15496,P203537,024-9/-20,024-9/-25,4,Credit Card,South,28.88,6.38,5.17
O100242,C11306,P222812,25-/2-3/,25-/2-6/,1,Debit Card,Central,215.36,9.96,54.65
O100243,C14029,P200721,025-6/-17,025-6/-21,1,Debit Card,Central,40.94,4.6,9.73
O100244,C16776,P245037,025-1/-12,025-1/-16,1,Credit Card,West,8.6,2.96,0.91
O100245,C12675,P216769,025-6/-22,025-6/-26,1,COD,West,53.07,8.22,7.7
O100246,C15068,P240194,24-/2-7/,024-1/-13,3,Wallet,West,2521.68,12.53,290.07
O100247,C15864,P246556,24-/2-2/,24-/2-6/,1,Credit Card,West,95.63,9.07,17.71
O100248,C11282,P246775,025-6/-25,025-6/-29,1,Credit Card,Central,25.52,4.68,-2.64
O100249,C17526,P243847,025-4/-15,025-4/-18,1,Debit Card,North,7.27,2.17,1.1
O100250,C10709,P214346,024-2/-13,024-2/-17,1,Debit Card,West,113.04,7.9,31.66
O100251,C15575,P239883,2024-11-12,2024-11-15,4,PayPal,North,130.76,6.66,39.11
O100252,C15530,P210911,24-/2-6/,024-9/-11,1,Wallet,East,140.25,7.55,41.54
O100253,C14744,P200259,023-9/-25,023-9/-29,1,PayPal,North,260.98,9.1,63.97
O100254,C14413,P220872,25-/2-9/,025-2/-15,2,Credit Card,East,116.08,7.03,33.6
O100255,C13748,P208791,024-8/-30,24-/2-3/,1,PayPal,South,413.13,8.79,40.79
O100256,C17392,P207536,024-9/-11,024-9/-16,1,COD,West,41.29,4.19,7.37
O100257,C17986,P220432,023-2/-1/,023-2/-5/,1,PayPal,Central,25.62,6.05,5.48
O100258,C15353,P232750,024-2/-27,24-/2-5/,1,COD,East,293.69,9.11,26.13
O100259,C14779,P241715,24-/2-8/,024-8/-12,1,Debit Card,South,182.17,8.24,13.62
O100260,C10663,P244537,024-9/-18,024-9/-24,1,Credit Card,East,237.11,6.78,21.67
O100261,C11998,P219541,024-2/-28,24-/2-6/,1,COD,East,135.15,7.76,39.54
O100262,C17994,P243718,024-1/-15,024-1/-20,1,Debit Card,West,4.73,1.41,0.25
O100263,C13445,P216860,24-/2-5/,024-1/-13,1,Credit Card,East,16.22,4.87,2.43
O100264,C13743,P205283,2023-11-26,023-2/-3/,1,Credit Card,East,63.45,5.95,11.82
O100265,C15727,P230743,2023-10-10,2023-10-14,1,Credit Card,North,131.84,5.96,40.18
O100266,C11495,P242559,2023-11-16,2023-11-20,1,Wallet,West,73.7,6.11,23.37
O100267,C13304,P235127,25-/2-4/,25-/2-9/,1,Debit Card,East,126.01,5.32,29.96
O100268,C13763,P207405,024-8/-15,024-8/-20,1,UPI,East,309.52,8.23,28.91
O100269,C15232,P231181,023-2/-4/,2023-12-10,1,Debit Card,South,119.82,6.39,35.55
O100270,C11853,P232205,025-4/-29,25-/2-4/,1,COD,East,1.09,1.22,-1.13
O100271,C15616,P224408,025-3/-12,025-3/-17,1,COD,South,10.1,4.56,-3.75
O100272,C16585,P217645,025-3/-26,025-3/-30,1,Credit Card,North,5.3,3.21,-1.36
O100273,C14659,P247125,2024-12-18,2024-12-22,1,Debit Card,Central,1111.79,11.47,121.94
O100274,C11291,P206323,2024-12-21,2024-12-26,1,Debit Card,North,60.81,5.5,11.53
O100275,C13581,P205937,25-/2-4/,25-/2-9/,1,Wallet,South,101.52,7.05,21.38
O100276,C17974,P243798,25-/2-9/,025-3/-13,1,Wallet,North,64.94,7.12,11.06
O100277,C13457,P230431,025-2/-25,25-/2-3/,1,Credit Card,East,49.22,5.57,16.58
O100278,C17554,P217882,024-2/-14,024-2/-22,1,Debit Card,East,428.38,9.79,140.14
O100279,C17280,P225324,024-6/-28,24-/2-3/,2,Credit Card,West,131.44,6.39,9.38
O100280,C11636,P213003,25-/2-5/,025-8/-10,1,UPI,North,31.73,5.26,9.02
O100281,C13696,P243346,025-1/-30,25-/2-3/,2,Credit Card,South,11.97,4.65,-3.69
O100282,C12999,P225106,023-9/-30,023-0/-4/,2,Debit Card,North,197.34,9.02,14.66
O100283,C13152,P212979,023-2/-1/,023-2/-6/,1,COD,North,55.02,6.64,9.87
O100284,C10698,P234977,025-3/-14,025-3/-19,1,Credit Card,North,838.28,10.7,224.02
O100285,C12160,P244828,024-9/-13,024-9/-18,1,Debit Card,South,26.76,3.74,5.63
O100286,C14097,P207228,2023-11-18,2023-11-25,1,Credit Card,East,8.39,1.28,2.08
O100287,C14737,P209300,024-1/-10,024-1/-14,1,Debit Card,Central,230.82,6.93,57.7
