customer_id,customer_age,customer_gender
C10143,55,Male
C10144,53,Female
C10145,59,Male
C10146,69,Female
C10147,65,Male
C10148,69,Male
C10149,50,Male
C10150,67,Male
C10151,67,Male
C10152,69,Male
C10153,52,Male
C10154,53,Other
C10155,65,Female
C10156,41,Other
C10157,57,Male
C10158,63,Other
C10159,42,Male
C10160,69,Male
C10161,69,Male
C10162,68,Male
C10163,65,Female
C10164,53,Male
C10165,60,Female
C10166,55,Male
C10167,19,Male
C10168,62,Male
C10169,69,Female
C10170,67,Male
C10171,51,Male
C10172,50,Female
C10173,52,Other
C10174,39,Male
C10175,67,Male
C10176,69,Male
C10177,49,Other
C10178,51,Male
C10179,67,Male
C10180,19,Male
C10181,28,Female
C10182,55,Male
C10183,62,Male
C10184,68,Other
C10185,52,Male
C10186,68,Male
C10187,65,Male
C10188,52,Male
C10189,67,Male
C10190,64,Male
C10191,56,Male
C10192,60,Male
C10193,55,Male
C10194,50,Male
C10195,62,Other
C10196,32,Male
C10197,60,Male
C10198,36,Male
C10199,62,Other
C10200,68,Male
C10201,66,Male
C10202,50,Male
C10203,43,Male
C10204,54,Female
C10205,59,Female
C10206,68,Male
C10207,61,Male
C10208,65,Male
C10209,60,Male
C10210,23,Male
C10211,64,Male
C10212,58,Female
C10213,61,Male
C10214,54,Male
C10215,64,Male
C10216,68,Other
C10218,21,Male
C10219,68,Other
C10220,52,Male
C10222,69,Male
C10223,58,Male
C10224,59,Male
C10225,66,Male
C10226,65,Male
C10227,55,Male
C10228,48,Female
C10229,49,Male
C10230,52,Female
C10231,25,Other
C10232,66,Male
C10233,57,Male
C10234,69,Male
C10235,69,Other
C10236,68,Other
C10237,52,Male
C10238,45,Other
C10239,69,Male
C10240,69,Other
C10241,59,Male
C10242,55,Male
C10243,68,Male
C10244,68,Male
C10245,53,Other
C10246,59,Male
C10248,59,Male
C10249,64,Male
C10250,56,Male
C10251,23,Male
C10252,69,Male
C10253,60,Male
C10254,61,Male
C10255,59,Male
C10256,62,Male
C10257,68,Other
C10258,64,Male
C10260,44,Male
C10261,47,Male
C10262,46,Male
C10263,58,Male
C10264,69,Male
C10265,62,Male
C10266,67,Other
C10267,64,Male
C10268,63,Female
C10269,68,Male
C10270,66,Other
C10271,69,Male
C10272,68,Other
C10273,67,Male
C10275,69,Male
C10276,52,Male
C10277,65,Other
C10278,36,Female
C10279,68,Male
C10280,63,Male
C10281,66,Male
C10282,31,Male
C10283,64,Male
C10284,65,Female
C10285,47,Male
C10286,44,Female
C10287,47,Male
C10288,63,Male
C10289,63,Male
C10290,34,Female
C10292,69,Male
C10293,67,Male
C10294,64,Male
C10295,64,Male
C10296,65,Male
C10297,56,Female
C10298,67,Other
C10299,53,Male
C10300,48,Male
C10301,69,Male
C10302,47,Other
C10303,69,Male
C10304,39,Male
C10305,64,Male
C10306,57,Other
C10307,64,Male
C10308,63,Female
C10309,65,Other
C10310,47,Male
C10311,67,Male
C10312,34,Male
C10313,56,Female
C10314,59,Other
C10315,42,Male
C10316,60,Female
C10317,68,Male
C10318,50,Male
C10319,56,Male
C10320,59,Male
C10321,24,Female
C10322,36,Male
C10323,37,Male
C10324,48,Male
C10325,54,Male
C10326,31,Male
C10327,43,Male
C10328,68,Male
C10329,66,Male
C10330,53,Male
C10331,61,Male
C10332,61,Male
C10333,55,Male
C10334,69,Male
C10335,68,Male
C10336,34,Male
C10337,66,Male
C10338,62,Male
C10339,50,Male
C10340,64,Male
C10341,50,Male
C10342,63,Male
C10343,43,Male
C10344,33,Male
C10345,59,Female
C10347,67,Male
C10348,56,Male
C10349,47,Male
C10350,37,Male
C10351,40,Male
C10352,69,Male
C10353,57,Male
C10354,56,Male
C10355,39,Male
C10356,66,Male
C10357,46,Other
C10358,62,Other
C10359,68,Other
C10360,68,Female
C10361,55,Other
C10362,64,Male
C10363,65,Male
C10364,69,Female
C10365,47,Other
C10366,67,Male
C10367,55,Female
C10368,60,Male
C10369,58,Male
C10370,68,Female
C10371,61,Male
C10372,65,Male
C10373,49,Female
C10374,65,Other
C10375,58,Male
C10376,54,Male
C10377,48,Male
C10378,64,Male
C10379,62,Male
C10380,35,Male
C10381,67,Male
C10382,37,Male
C10383,46,Male
C10384,44,Male
C10385,56,Male
C10386,56,Other
C10387,64,Female
C10388,57,Male
C10389,58,Male
C10390,69,Other
C10391,63,Female
C10392,58,Male
C10393,68,Male
C10394,66,Other
C10395,58,Male
C10396,38,Male
C10397,58,Female
C10398,67,Male
C10399,50,Male
C10400,64,Male
C10401,64,Male
C10402,60,Male
C10403,64,Male
C10404,56,Male
C10405,53,Male
C10406,59,Male
C10407,64,Male
C10408,44,Female
C10409,40,Male
C10410,61,Male
C10411,44,Male
C10412,55,Male
C10413,68,Other
C10414,56,Male
C10415,48,Male
C10416,39,Male
C10417,54,Male
C10418,68,Other
C10419,57,Male
C10420,34,Male
C10421,58,Male
C10422,68,Male
C10423,40,Female
C10424,52,Female
C10425,40,Other
C10426,52,Male
C10427,41,Other
C10428,62,Female
C10429,42,Male
C10430,38,Other
C10431,46,Male
C10432,68,Male
C10433,61,Male
C10434,66,Other
C10435,60,Other
C10436,58,Male
C10437,66,Male
C10438,59,Male
C10439,51,Other
C10440,62,Other
C10441,64,Male
C10442,53,Male
C10443,47,Male
C10444,55,Male
C10445,62,Male
C10446,64,Male
C10448,62,Male
C10449,64,Male
C10450,19,Male
C10451,65,Male
C10452,63,Male
C10453,62,Male
C10454,58,Male
C10455,62,Male
C10456,49,Other
C10457,53,Male
C10458,67,Male
C10459,25,Male
C10460,61,Other
C10461,67,Male
C10462,59,Male
C10463,58,Male
C10464,69,Male
C10465,62,Other
C10466,40,Male
C10467,67,Male
C10468,62,Female
C10469,35,Female
C10470,68,Male
C10471,61,Male
C10472,60,Male
C10473,53,Male
C10474,51,Female
C10475,60,Male
C10476,25,Male
C10477,44,Male
C10478,47,Male
C10479,69,Other
C10480,67,Male
C10481,68,Male
C10482,69,Male
C10483,65,Female
C10484,68,Male
C10485,50,Male
C10486,44,Male
C10487,62,Female
C10488,68,Male
C10489,69,Male
C10490,48,Male
C10491,43,Other
C10492,63,Male
C10493,68,Male
C10494,59,Female
C10495,61,Male
C10496,67,Male
C10497,59,Other
C10498,63,Male
C10499,69,Male
C10500,49,Male
C10501,69,Male
C10502,67,Male
C10503,68,Male
C10504,54,Male
C10505,65,Male
C10506,66,Male
C10507,69,Male
C10508,68,Male
C10509,45,Male
C10510,67,Female
C10511,59,Male
C10512,45,Male
C10513,67,Male
C10514,64,Male
C10515,69,Other
C10516,63,Male
C10517,64,Male
C10518,31,Male
C10519,67,Male
C10520,55,Male
C10521,69,Male
C10522,64,Male
C10523,55,Female
C10524,59,Male
C10525,69,Male
C10526,67,Other
C10527,59,Male
C10528,66,Other
C10529,68,Male
C10530,69,Other
C10531,68,Other
C10532,68,Male
C10533,26,Male
C10534,42,Male
C10535,69,Male
C10536,49,Male
C10537,61,Male
C10538,41,Male
C10539,60,Male
C10540,69,Other
C10541,64,Other
C10542,68,Male
C10543,45,Male
C10544,47,Male
C10545,67,Male
C10546,41,Male
C10547,33,Male
C10548,54,Male
C10549,57,Male
C10550,62,Female
C10551,65,Male
C10552,67,Male
C10553,60,Male
C10554,68,Male
C10555,66,Male
C10556,64,Other
C10557,62,Male
C10558,31,Male
C10559,69,Male
C10560,68,Other
C10561,61,Other
C10562,58,Male
C10563,32,Male
C10564,57,Female
C10565,69,Male
C10566,64,Male
C10567,48,Male
C10568,62,Other
C10569,65,Male
C10570,69,Other
C10571,65,Male
C10572,62,Male
C10573,44,Male
C10574,62,Male
C10575,67,Male
C10576,61,Male
C10577,68,Male
C10578,65,Male
C10579,57,Male
C10580,68,Male
C10581,54,Male
C10582,66,Male
C10583,68,Male
C10584,65,Male
C10585,61,Male
C10586,61,Male
C10587,69,Female
C10588,52,Other
C10589,50,Male
C10590,61,Male
C10591,68,Male
C10592,34,Male
C10593,62,Male
C10594,52,Male
C10595,63,Male
C10596,66,Other
C10597,63,Male
C10598,52,Other
C10599,67,Male
C10600,68,Other
C10601,48,Female
C10602,63,Male
C10603,48,Male
C10604,50,Male
C10605,68,Male
C10606,66,Other
C10607,64,Other
C10608,58,Male
C10609,64,Female
C10610,68,Male
C10611,57,Male
C10612,68,Male
C10613,45,Male
C10614,62,Other
C10615,65,Male
C10616,55,Male
C10617,60,Male
C10618,69,Male
C10619,69,Male
C10620,62,Other
C10621,44,Male
C10622,49,Male
C10623,67,Male
C10624,44,Female
C10625,66,Male
C10626,38,Male
C10627,61,Male
C10628,69,Male
C10629,56,Other
C10630,52,Female
C10631,61,Male
C10632,68,Male
C10633,36,Male
C10634,63,Male
C10635,67,Other
C10636,62,Male
C10637,64,Male
C10638,50,Other
C10639,58,Male
C10640,60,Male
C10641,69,Male
C10642,52,Male
C10643,53,Other
C10644,49,Male
C10645,64,Other
C10646,67,Other
C10647,60,Male
C10648,51,Other
C10649,31,Other
C10650,39,Female
C10651,63,Male
C10652,57,Male
C10653,66,Female
C10654,48,Male
C10655,68,Male
C10656,50,Male
C10657,49,Male
C10658,61,Male
C10659,68,Male
C10660,50,Male
C10661,52,Other
C10662,66,Male
C10663,60,Other
C10664,48,Male
C10665,68,Male
C10666,60,Male
C10667,69,Male
C10668,35,Male
C10669,65,Female
C10670,60,Male
C10671,65,Male
C10672,64,Male
C10673,63,Male
C10674,54,Male
C10675,56,Male
C10676,36,Male
C10677,66,Male
C10678,54,Male
C10679,56,Male
C10680,50,Male
C10681,66,Male
C10682,34,Male
C10683,53,Male
C10684,64,Other
C10685,69,Male
C10686,66,Male
C10687,62,Male
C10688,64,Female
C10689,67,Male
C10690,53,Other
C10691,46,Other
C10692,68,Male
C10693,67,Male
C10694,38,Female
C10695,58,Female
C10696,49,Male
C10697,39,Other
C10698,62,Male
C10699,60,Male
C10700,67,Male
C10701,62,Male
C10702,46,Male
C10703,69,Other
C10704,57,Male
C10705,48,Other
C10706,48,Male
C10707,63,Male
C10708,23,Male
C10709,65,Male
C10710,60,Male
C10711,68,Male
C10712,67,Male
C10713,68,Male
C10714,58,Male
C10715,59,Male
C10716,59,Male
C10717,56,Male
C10718,34,Female
C10719,69,Male
C10720,63,Male
C10721,43,Other
C10722,63,Other
C10723,61,Other
C10724,68,Male
C10725,69,Male
C10726,66,Male
C10727,48,Male
C10728,68,Male
C10729,49,Female
C10730,59,Male
C10731,63,Other
C10732,63,Male
C10734,43,Male
C10735,62,Female
C10736,35,Female
C10737,44,Male
C10738,63,Male
C10739,69,Male
C10740,60,Male
C10741,42,Male
C10742,49,Male
C10743,65,Other
C10744,56,Male
C10745,53,Male
C10746,69,Male
C10747,62,Female
C10748,61,Female
C10749,54,Male
C10750,44,Other
C10751,52,Male
C10752,25,Other
C10753,69,Male
C10754,65,Male
C10755,69,Male
C10756,54,Male
C10757,69,Male
C10758,68,Male
C10759,61,Male
C10760,60,Female
C10761,60,Male
C10762,48,Other
C10763,66,Male
C10764,61,Other
C10765,29,Male
C10766,66,Male
C10767,53,Male
C10768,49,Male
C10769,63,Male
C10770,56,Other
C10771,65,Male
C10772,55,Male
C10773,68,Male
C10774,63,Other
C10775,69,Male
C10776,35,Male
C10777,45,Other
C10778,68,Male
C10779,31,Male
C10780,56,Male
C10781,65,Male
C10782,55,Other
C10783,61,Male
C10784,66,Male
C10785,52,Male
C10786,46,Male
C10787,57,Male
C10788,59,Male
C10789,59,Other
C10790,39,Male
C10791,61,Male
C10792,56,Male
C10793,68,Other
C10794,51,Male
C10795,69,Female
C10796,52,Other
C10797,65,Male
C10798,67,Male
C10799,63,Other
C10800,63,Male
C10801,23,Male
C10802,65,Other
C10803,64,Female
C10804,68,Male
C10805,54,Male
C10806,68,Male
C10807,66,Female
C10808,69,Female
C10809,68,Male
C10810,68,Male
C10811,47,Female
C10812,36,Male
C10813,67,Male
C10814,28,Female
C10815,66,Male
C10816,65,Male
C10817,67,Male
C10818,67,Male
C10819,69,Male
C10820,66,Male
C10821,57,Male
C10822,68,Male
C10823,54,Male
C10824,62,Male
C10825,64,Male
C10826,69,Male
C10827,56,Other
C10828,27,Female
C10829,69,Female
C10830,55,Male
C10831,68,Male
C10832,68,Male
C10833,68,Male
C10834,65,Male
C10835,61,Male
C10836,67,Male
C10837,49,Male
C10838,49,Male
C10839,54,Male
C10840,67,Male
C10841,51,Male
C10842,52,Male
C10843,57,Male
C10844,67,Male
C10845,64,Male
C10846,45,Male
C10847,69,Male
C10848,67,Male
C10849,61,Other
C10850,61,Male
C10851,48,Male
C10852,49,Female
C10853,60,Male
C10854,52,Other
C10855,57,Male
C10856,63,Female
C10857,63,Male
C10858,65,Other
C10859,53,Male
C10860,48,Male
C10861,66,Male
C10862,56,Male
C10863,63,Other
C10864,58,Other
C10865,62,Male
C10866,63,Male
C10867,41,Male
C10868,65,Male
C10869,69,Male
C10870,67,Other
C10871,68,Male
C10872,68,Female
C10873,67,Male
C10874,40,Male
C10875,63,Male
C10876,69,Male
C10877,59,Male
C10878,42,Male
C10879,66,Female
C10880,24,Female
C10881,67,Male
C10882,43,Male
C10883,57,Male
C10884,49,Male
C10885,63,Other
C10886,69,Other
C10887,59,Male
C10888,61,Other
C10889,66,Male
C10890,60,Male
C10891,59,Male
C10892,66,Male
C10893,68,Male
C10894,66,Male
C10895,66,Male
C10896,62,Male
C10897,53,Other
C10898,68,Female
C10899,69,Male
C10900,65,Male
C10901,49,Male
C10902,55,Male
C10903,68,Other
C10904,60,Male
C10905,41,Male
C10906,56,Male
C10907,51,Female
C10908,59,Other
C10909,67,Other
C10910,67,Other
C10911,34,Male
C10912,68,Male
C10913,61,Male
C10914,49,Other
C10915,66,Male
C10916,69,Other
C10917,66,Male
C10918,67,Male
C10919,67,Male
C10920,63,Other
C10921,44,Female
C10922,68,Male
C10923,61,Male
C10924,52,Male
C10925,60,Male
C10926,69,Male
C10927,63,Female
C10928,64,Male
C10929,69,Other
C10930,46,Male
C10931,60,Male
C10932,40,Female
C10933,28,Male
C10934,48,Male
C10935,69,Other
C10936,40,Female
C10937,59,Male
C10938,69,Male
C10939,65,Male
C10940,22,Female
C10941,63,Male
C10942,59,Male
C10943,68,Male
C10944,57,Male
C10945,69,Male
C10946,56,Male
C10947,67,Male
C10948,68,Male
C10949,68,Other
C10950,68,Male
C10951,52,Male
C10952,65,Other
C10953,57,Male
C10954,59,Male
C10955,66,Male
C10956,64,Other
C10957,60,Male
C10958,51,Other
C10959,58,Male
C10960,28,Female
C10961,56,Male
C10962,66,Male
C10963,63,Female
C10964,61,Other
C10965,59,Other
C10966,68,Male
C10967,46,Female
C10968,64,Male
C10969,64,Male
C10970,25,Male
C10971,30,Male
C10972,62,Male
C10973,62,Male
C10974,65,Male
C10975,69,Male
C10976,66,Male
C10977,32,Male
C10978,64,Other
C10979,68,Male
C10980,57,Male
C10981,69,Male
C10982,57,Male
C10983,62,Other
C10984,54,Male
C10985,59,Male
C10986,59,Other
C10987,67,Male
C10988,68,Other
C10989,68,Male
C10990,63,Other
C10991,65,Male
C10992,69,Male
C10994,62,Male
C10995,67,Female
C10996,44,Female
C10997,61,Male
C10998,61,Other
C10999,62,Male
C11000,68,Male
C11001,63,Male
C11002,67,Male
C11003,57,Male
C11004,69,Male
C11005,44,Male
C11006,66,Female
C11007,68,Female
C11008,65,Other
C11009,50,Male
C11010,48,Male
C11011,50,Other
C11012,66,Male
C11013,68,Male
C11014,62,Male
C11015,68,Male
C11016,69,Male
C11017,67,Male
C11018,67,Male
C11019,60,Other
C11020,65,Male
C11021,57,Male
C11022,35,Female
C11023,48,Male
C11024,58,Male
C11025,58,Other
C11026,69,Other
C11027,51,Male
C11028,39,Male
C11029,63,Male
C11030,65,Female
C11031,69,Male
C11032,46,Male
C11033,47,Female
C11034,58,Female
C11035,48,Male
C11036,67,Male
C11037,66,Other
C11038,68,Male
C11039,51,Male
C11040,66,Male
C11041,38,Female
C11042,45,Male
C11043,52,Male
C11044,34,Male
C11045,59,Male
C11046,69,Female
C11047,62,Male
C11048,50,Other
C11049,59,Other
C11050,60,Male
C11051,67,Male
C11052,65,Female
C11053,66,Male
C11054,69,Male
C11055,50,Male
C11057,42,Male
C11058,64,Male
C11059,36,Male
C11060,50,Male
C11061,69,Male
C11062,43,Other
C11063,51,Male
C11064,68,Male
C11065,60,Other
C11066,52,Male
C11067,67,Male
C11068,57,Male
C11069,68,Male
C11070,67,Male
C11071,51,Female
C11072,65,Female
C11073,68,Male
C11074,69,Other
C11075,68,Male
C11076,63,Male
C11077,62,Male
C11078,63,Male
C11079,58,Male
C11080,55,Male
C11081,68,Other
C11082,66,Male
C11083,68,Male
C11084,68,Male
C11085,64,Other
C11086,40,Female
C11088,68,Male
C11089,67,Male
C11090,59,Male
C11091,55,Other
C11092,18,Female
C11093,61,Male
C11094,67,Male
C11095,66,Male
C11096,66,Male
C11097,64,Female
C11098,68,Other
C11099,41,Male
C11100,61,Male
C11101,69,Female
C11102,58,Male
C11103,69,Female
C11104,64,Male
C11105,67,Male
C11106,68,Male
C11107,55,Male
C11108,19,Female
C11109,63,Male
C11110,66,Male
C11111,68,Female
C11112,58,Other
C11113,59,Male
C11114,47,Other
C11115,69,Female
C11116,65,Male
C11117,69,Male
C11118,68,Male
C11119,66,Female
C11120,61,Male
C11121,45,Female
C11122,53,Male
C11123,64,Male
C11124,54,Male
C11125,61,Male
C11126,59,Other
C11127,57,Male
C11128,67,Other
C11129,66,Male
C11130,69,Male
C11131,44,Female
C11132,68,Other
C11133,60,Male
C11134,66,Male
C11135,63,Male
C11136,47,Other
C11137,48,Male
C11138,64,Male
C11139,61,Female
C11140,25,Male
C11141,64,Male
C11142,47,Male
C11143,64,Male
C11144,68,Male
C11145,57,Male
C11146,67,Male
C11147,65,Male
C11148,56,Other
C11149,50,Male
C11150,57,Male
C11151,69,Female
C11152,52,Male
C11153,63,Male
C11154,69,Male
C11155,65,Male
C11156,66,Male
C11157,53,Female
C11158,49,Male
C11159,65,Other
C11160,67,Male
C11161,58,Male
C11162,59,Other
C11163,64,Male
C11164,54,Male
C11165,68,Male
C11166,63,Male
C11167,69,Male
C11168,66,Male
C11169,68,Other
C11170,45,Male
C11171,56,Male
C11172,61,Male
C11173,64,Male
C11174,67,Other
C11175,67,Female
C11176,67,Male
C11177,60,Male
C11178,55,Male
C11179,69,Male
C11180,59,Male
C11181,62,Male
C11182,60,Female
C11183,31,Female
C11184,59,Male
C11185,66,Male
C11186,44,Other
C11187,69,Male
C11188,43,Male
C11189,63,Male
C11190,60,Male
C11191,69,Other
C11192,35,Female
C11193,69,Male
C11194,45,Male
C11195,57,Other
C11196,67,Male
C11197,54,Male
C11198,60,Male
C11199,39,Female
C11200,63,Male
C11201,27,Male
C11202,56,Male
C11203,69,Male
C11204,46,Female
C11205,62,Male
C11206,63,Male
C11207,57,Male
C11208,56,Male
C11209,50,Male
C11210,66,Male
C11211,59,Male
C11212,61,Male
C11213,42,Male
C11214,59,Male
C11215,56,Male
C11216,67,Male
C11217,62,Other
C11218,63,Male
C11219,67,Male
C11220,61,Male
C11221,60,Male
C11222,63,Other
C11223,60,Male
C11224,62,Male
C11225,67,Male
C11226,51,Female
C11227,57,Female
C11228,43,Other
C11229,64,Male
C11230,67,Male
C11231,62,Male
C11232,68,Male
C11233,59,Male
C11234,49,Male
C11235,52,Male
C11236,64,Male
C11237,61,Other
C11238,66,Other
C11239,66,Male
C11240,68,Male
C11241,69,Male
C11242,66,Male
C11243,59,Male
C11244,64,Male
C11245,58,Male
C11246,56,Male
C11247,59,Male
C11248,59,Male
C11249,50,Male
C11250,67,Male
C11251,64,Male
C11252,59,Male
C11253,51,Male
C11254,65,Male
C11255,67,Male
C11256,55,Other
C11257,68,Male
C11258,64,Male
C11259,48,Male
C11260,69,Male
C11261,58,Female
C11262,63,Male
C11263,62,Other
C11264,69,Male
C11265,56,Other
C11266,64,Male
C11267,64,Male
C11268,69,Male
C11269,62,Male
C11270,56,Male
C11271,59,Male
C11272,65,Male
C11273,63,Male
C11274,46,Male
C11275,69,Male
C11276,54,Male
C11277,55,Male
C11278,66,Male
C11279,66,Male
C11280,49,Other
C11281,64,Male
C11282,66,Male
C11283,60,Male
C11284,53,Other
C11285,50,Male
C11286,49,Male
C11287,50,Male
C11288,56,Male
C11289,67,Male
C11290,61,Female
C11291,68,Male
C11292,67,Other
C11293,47,Male
C11294,63,Other
C11295,60,Male
C11296,62,Male
C11297,36,Female
C11298,69,Male
C11299,59,Male
C11300,61,Male
C11301,67,Male
C11302,41,Male
C11303,67,Male
C11304,50,Male
C11305,65,Male
C11306,56,Male
C11307,59,Male
C11308,65,Male
C11309,66,Male
C11310,67,Male
C11311,60,Other
C11312,67,Male
C11313,54,Female
C11314,62,Male
C11315,29,Other
C11316,60,Other
C11317,69,Male
C11318,65,Male
C11319,48,Male
C11320,37,Male
C11321,22,Male
C11322,68,Female
C11323,61,Male
C11324,69,Female
C11325,46,Male
C11326,67,Male
C11327,58,Other
C11328,29,Male
C11329,59,Male
C11330,58,Male
C11331,46,Male
C11332,62,Male
C11333,41,Male
C11334,63,Male
C11335,28,Male
C11336,69,Male
C11337,27,Male
C11338,66,Male
C11339,66,Male
C11340,40,Male
C11341,63,Male
C11342,59,Male
C11343,66,Male
C11344,40,Male
C11345,65,Other
C11347,24,Female
C11348,64,Male
C11349,61,Female
C11350,52,Male
C11351,68,Other
C11352,50,Male
C11353,69,Male
C11354,67,Male
C11355,63,Other
C11356,67,Male
C11357,61,Male
C11358,60,Male
C11359,68,Male
C11360,67,Male
C11361,68,Male
C11362,65,Male
C11363,63,Male
C11364,59,Other
C11365,67,Male
C11366,34,Male
C11367,68,Male
C11368,58,Male
C11369,64,Male
C11370,60,Male
C11371,50,Male
C11372,55,Female
C11373,69,Female
C11374,53,Other
C11375,52,Male
C11376,60,Male
C11377,63,Male
C11378,68,Male
C11379,54,Other
C11380,66,Male
C11381,63,Other
C11382,65,Other
C11383,52,Male
C11384,65,Male
C11385,50,Male
C11386,47,Male
C11387,57,Male
C11388,68,Male
C11389,66,Male
C11390,66,Male
C11391,62,Male
C11392,69,Male
C11393,65,Male
C11394,64,Male
C11395,59,Male
C11396,63,Male
C11397,63,Other
C11398,69,Male
C11399,62,Male
C11400,64,Male
C11401,59,Male
C11402,38,Male
C11403,66,Male
C11404,66,Male
C11405,69,Male
C11406,46,Female
C11407,47,Female
C11408,66,Male
C11409,63,Male
C11410,55,Male
C11411,49,Male
C11412,64,Female
C11413,65,Male
C11414,55,Female
C11415,65,Other
C11416,65,Other
C11417,62,Male
C11418,63,Female
C11419,55,Male
C11420,58,Male
C11421,65,Male
C11422,59,Male
C11423,50,Female
C11424,61,Male
C11425,66,Male
C11426,55,Female
C11428,41,Male
C11429,49,Male
C11430,52,Male
C11431,52,Male
C11432,51,Other
C11434,51,Female
C11435,66,Male
C11436,60,Male
C11437,59,Other
C11438,53,Male
C11439,64,Male
C11440,62,Other
C11441,46,Male
C11442,66,Male
C11443,60,Male
C11444,32,Female
C11445,48,Male
C11446,68,Male
C11447,60,Male
C11448,56,Male
C11449,68,Male
C11450,48,Female
C11451,61,Other
C11452,36,Male
C11453,30,Male
C11454,64,Male
C11455,64,Other
C11456,45,Female
C11457,57,Female
C11458,54,Other
C11459,51,Other
C11460,65,Other
C11461,67,Male
C11462,54,Male
C11463,62,Male
C11464,68,Male
C11465,61,Male
C11466,49,Other
C11467,46,Male
C11468,69,Male
C11469,69,Male
C11470,62,Male
C11471,52,Male
C11472,66,Male
C11473,69,Male
C11474,65,Male
C11475,43,Female
C11476,68,Male
C11477,66,Male
C11478,64,Male
C11479,47,Male
C11480,69,Male
C11481,57,Male
C11482,52,Male
C11483,69,Male
C11484,57,Male
C11485,59,Other
C11486,60,Other
C11487,63,Male
C11488,63,Other
C11490,59,Male
C11491,62,Male
C11492,58,Male
C11493,44,Male
C11494,58,Male
C11495,64,Male
C11496,55,Male
C11497,68,Other
C11498,61,Male
C11499,57,Male
C11500,63,Male
C11501,67,Male
C11502,68,Male
C11503,34,Male
C11504,63,Male
C11505,64,Male
C11506,30,Male
C11507,62,Male
C11508,55,Other
C11509,28,Male
C11510,61,Male
C11511,61,Male
C11513,62,Male
C11514,65,Male
C11515,58,Male
C11516,64,Other
C11517,65,Other
C11518,60,Male
C11519,53,Male
C11520,50,Male
C11521,67,Male
C11522,55,Other
C11523,64,Male
C11524,50,Male
C11525,64,Male
C11526,68,Male
C11527,69,Male
C11528,69,Male
C11529,69,Other
C11531,69,Other
C11532,68,Other
C11533,41,Other
C11534,68,Male
C11535,64,Male
C11536,34,Male
C11537,64,Male
C11538,69,Female
C11539,50,Male
C11540,53,Other
C11541,43,Male
C11542,48,Male
C11543,68,Male
C11544,60,Male
C11545,68,Male
C11546,69,Female
C11547,56,Male
C11548,65,Male
C11549,64,Male
C11550,53,Male
C11551,45,Male
C11552,41,Male
C11553,62,Male
C11554,47,Other
C11555,54,Male
C11556,60,Male
C11557,59,Male
C11558,65,Male
C11559,62,Male
C11560,68,Other
C11561,64,Other
C11562,66,Male
C11563,61,Male
C11564,57,Male
C11565,67,Male
C11566,67,Other
C11567,67,Male
C11568,63,Male
C11569,46,Female
